CODMES_PLANIFICACION,FECDIA_TARGET,LLAMADAS_INGRESADAS_TARGET,CODMES_DATA_VARIABLES,LINEA,TRX_AGENTE,TRX_BCA_INTERNET,TRX_BCA_MOVIL,TRX_BCA_TELEFONO,TRX_CAJERO_AUTOMATICO,TRX_CAJERO_OTRAS_REDES,TRX_POS,TRX_APP_NEGOCIO,TRX_VENTANILLA,CLI_NORMAL_TOTAL_ODS,CLI_EXCL_TOTAL_ODS,CLI_SUPEREXCL_TOTAL_ODS,CLI_PEQYME_TOTAL_ODS,CLI_NO_BANCO_TOTAL_ODS,MAX_INGRESADAS_D_U1,MAX_INGRESADAS_D_U3,MAX_INGRESADAS_D_U6,MAX_INGRESADAS_U1,MAX_INGRESADAS_U3,MAX_INGRESADAS_U6,MIN_INGRESADAS_D_U1,MIN_INGRESADAS_D_U3,MIN_INGRESADAS_D_U6,MIN_INGRESADAS_U1,MIN_INGRESADAS_U3,MIN_INGRESADAS_U6,PROM_INGRESADAS_D_U1,PROM_INGRESADAS_D_U3,PROM_INGRESADAS_D_U6,PROM_INGRESADAS_U1,PROM_INGRESADAS_U3,PROM_INGRESADAS_U6,DIA_SEMANA_NUM,DIA_SEMANA_DES,TIPOLOGIA,CANT_DIAS_DESP_FACT_MEX_22,CANT_DIAS_DESP_FACT_ISA_10,CANT_DIAS_DESP_FACT_ISA_25,DIA_FACT_MEX_22,DIA_FACT_ISA_10,DIA_FACT_ISA_25
201912,20200327,34669,201910,PREGUNTAS FRECUENTES,31997390,21252831,131411861,4475822,24390914,287465,27679274,12517094,7598798,9721653,373013,46022,831335,11028780,29481,34993,35792,45016,45016,45216,24976,13779,13779,5048,5048,5048,27454,26324,26742,24205,24934,25290,5,Vie,NORMAL,5,18,2,0,0,0
202001,20200406,31186,201911,PREGUNTAS FRECUENTES,26070493,18505054,127451253,4991536,17702507,231403,20381756,10694171,5442165,,373015,46091,835311,11032393,34580,45016,45016,37284,45016,45216,27152,25641,25641,4246,4246,4246,29924,32741,32510,22552,,24891,1,Lun,NORMAL,16,28,13,0,0,0
202001,20200409,12877,201911,PREGUNTAS FRECUENTES,26070493,18505054,127451253,4991536,17702507,231403,20381756,10694171,5442165,9766305,373015,46091,835311,11032393,26322,31259,38350,37284,45016,45216,8751,8751,8751,4246,4246,4246,21498,24989,26640,22552,24285,24891,4,Jue,FERIADO,19,32,16,0,0,0
202006,20200902,46774,202004,PREGUNTAS FRECUENTES,33740715,26609809,209363260,4386032,14487279,202826,25155820,11239621,4051101,10246677,372946,46209,858411,10970762,49721,49721,49721,55548,55548,55548,36354,26639,4246,4383,3347,3347,40925,35195,31055,36850,31133,28425,3,Mie,COSTADO,12,24,8,0,0,0
202006,20200916,41799,202004,PREGUNTAS FRECUENTES,33740715,26609809,209363260,,14487279,202826,25155820,11239621,4051101,10246677,372946,46209,858411,10970762,49721,49721,49721,55548,55548,55548,36354,26639,4246,4383,3347,3347,40925,35195,31055,36850,31133,28425,3,Mie,NORMAL,26,6,23,0,0,0
202006,20200928,36476,202004,PREGUNTAS FRECUENTES,33740715,26609809,209363260,4386032,14487279,202826,25155820,11239621,4051101,10246677,372946,46209,858411,10970762,52157,52157,52157,55548,55548,55548,33204,31186,27003,4383,3347,3347,44762,39651,36955,36850,31133,28425,1,Lun,NORMAL,6,19,3,0,0,0
202008,20201112,31579,202006,PREGUNTAS FRECUENTES,36320523,25292269,208994128,4904237,16802768,218015,28572522,13047454,5225646,,372966,46359,878186,11008988,42087,51367,51367,45943,55548,55548,35702,31935,12877,5494,4383,,38020,39516,35192,32336,33849,31293,4,Jue,NORMAL,22,2,19,0,0,0
202104,20210728,11271,202102,PREGUNTAS FRECUENTES,35997313,23947585,226413957,4083574,16772313,222938,37297281,13167227,5199012,11280358,391579,46205,943029,11162939,33479,43191,43191,42615,47742,47742,25432,25432,25432,3224,1093,47,28228,30998,33697,23717,25938,28088,3,Mie,FERIADO,6,19,3,0,0,0
202107,20211021,27620,202105,PREGUNTAS FRECUENTES,38208438,22016229,231341747,3145736,18101454,295121,44252799,14310581,5471112,11590924,390839,46410,957687,11161890,53594,53594,53594,53594,53594,53594,12438,12438,12438,10851,4741,1093,36666,35592,31791,34117,32087,29030,4,Jue,NORMAL,30,12,27,0,0,0
202108,20211130,36125,202106,PREGUNTAS FRECUENTES,40031318,22614634,232032657,3952760,19086504,320371,49135104,14050721,,11754475,390853,46488,961483,11232845,50797,50797,50797,57793,57793,57793,38380,25610,25306,42,42,42,43327,39462,37192,33707,32712,30069,2,Mar,PICO,8,21,5,0,0,0
201710,20180127,13188,201708,PREGUNTAS FRECUENTES,21468232,18752584,39790301,6083251,26226573,274089,17692483,11757880,8856169,7434840,372670,35784,715130,11258146,18489,22026,22026,52376,52376,52376,14215,11446,6698,3825,3825,1956,16478,15044,14020,20092,17012,15913,6,Sab,NORMAL,5,18,2,0,0,0
201712,20180308,15301,201710,PREGUNTAS FRECUENTES,18841866,13396467,34710288,4469190,22066636,,14948993,10024278,7996545,7573236,381387,36626,718492,11256520,23018,26234,26234,31150,52376,52376,17628,13796,13340,3561,3561,2906,20175,19979,18158,17841,18483,16692,4,Jue,NORMAL,15,27,12,0,0,0
201802,20180505,17877,201712,PREGUNTAS FRECUENTES,20511422,19673961,42398553,5067666,24675894,209105,17087701,10951420,8421885,7709360,386167,36873,726669,11256419,15501,23732,23732,25977,31150,52376,14184,12594,12594,4847,3561,3561,15124,16011,16158,16932,16950,17517,6,Sab,NORMAL,14,26,11,0,0,0
201802,20180525,17547,201712,PREGUNTAS FRECUENTES,20511422,19673961,42398553,5067666,24675894,209105,17087701,10951420,8421885,7709360,386167,36873,726669,11256419,20562,31150,31150,25977,31150,52376,16419,11963,7442,4847,3561,3561,19023,19596,19549,16932,16950,17517,5,Vie,NORMAL,3,16,0,0,0,1
201804,20180718,26421,201802,PREGUNTAS FRECUENTES,22573796,17899090,43792695,4617457,24740209,228739,,,8038324,7866500,385921,37288,735264,11236811,22653,25977,25977,31540,31540,31540,16975,15627,10979,1037,1037,1037,18892,19339,,,17278,17202,3,Mie,NORMAL,27,8,24,0,0,0
201807,20181006,17512,201805,PREGUNTAS FRECUENTES,24670267,17547908,53707337,4920382,23561112,216498,17593675,11327287,8174754,8123328,404993,39892,746813,11184207,20794,25176,25176,33618,37631,37631,10100,10100,10100,6277,160,160,15744,17289,16430,20592,19939,18631,6,Sab,NORMAL,15,27,12,0,0,0
201809,20181227,22536,201807,PREGUNTAS FRECUENTES,26159191,16715570,64718773,5394037,26424635,229826,19469122,12705252,8631014,8288965,,40261,754472,11146591,20545,24401,26973,31032,33618,37631,18039,12494,12494,7020,6277,160,19529,20128,20773,19713,19694,19327,4,Jue,NORMAL,5,18,2,0,0,0
201810,20190125,22905,201808,PREGUNTAS FRECUENTES,28057595,19415543,73532752,6079941,29068673,283652,23232061,12810714,8486615,8393487,408753,40444,758542,11134239,22571,30210,30210,36394,36394,37631,19914,15962,13322,0,0,0,20952,21434,21098,18845,19105,19522,5,Vie,NORMAL,3,16,0,0,0,1
201912,20200311,26703,201910,PREGUNTAS FRECUENTES,31997390,21252831,131411861,4475822,24390914,287465,27679274,12517094,7598798,9721653,373013,46022,831335,11028780,35218,35218,39761,45016,45016,45216,5048,5048,5048,5048,5048,5048,24438,28001,28322,24205,24934,25290,3,Mie,NORMAL,19,1,16,0,0,0
202002,20200520,35625,201912,PREGUNTAS FRECUENTES,18735394,20960890,124185019,4859963,8685418,154081,12023549,8492585,2918414,9844046,373620,46094,836721,10992498,34137,35218,39761,42330,45016,45216,24801,4246,4246,8532,4246,4246,28172,24539,26928,24998,23895,24574,3,Mie,NORMAL,29,11,26,0,0,0
202007,20201007,30840,202005,PREGUNTAS FRECUENTES,32615672,24685309,200631965,3902954,14247866,186105,25023972,11909075,4691790,10314135,372852,46270,866798,11006459,43287,49721,49721,46242,55548,55548,35098,32223,24801,8484,3347,3347,38587,,34300,32458,33116,30112,3,Mie,NORMAL,16,28,13,0,0,0
202007,20201020,31588,202005,PREGUNTAS FRECUENTES,32615672,24685309,200631965,3902954,14247866,186105,25023972,11909075,4691790,10314135,372852,46270,866798,11006459,46242,55548,55548,46242,55548,55548,15679,15679,15679,8484,3347,3347,34494,39479,35979,32458,33116,30112,2,Mar,NORMAL,29,11,26,0,0,0
202009,20201205,28582,202007,PREGUNTAS FRECUENTES,34795510,24152338,211006951,4421745,16881914,217955,30230609,13335406,5340549,10573422,375555,46404,888791,11093658,26928,31662,43882,49175,49175,55548,20730,20730,18459,5002,5002,3347,23174,24997,26269,31135,31986,31562,6,Sab,NORMAL,14,26,11,0,0,0
202009,20201225,3138,202007,PREGUNTAS FRECUENTES,34795510,24152338,211006951,4421745,16881914,217955,30230609,13335406,5340549,10573422,375555,46404,888791,11093658,44944,44944,47829,49175,49175,55548,28475,28475,9036,5002,5002,3347,34381,36029,35227,31135,31986,31562,5,Vie,FERIADO,3,16,0,0,0,1
202102,20210517,47745,202012,PREGUNTAS FRECUENTES,34233414,21550565,221041008,3430988,15259420,209935,33122488,12603714,4939701,11077526,391246,46116,930256,11167196,40139,44799,46040,40139,44799,49175,29125,29125,29125,3698,3138,47,34966,38235,38806,26416,29250,29553,1,Lun,NORMAL,26,7,23,0,0,0
202105,20210823,44019,202103,PREGUNTAS FRECUENTES,38769826,28276894,239503185,4469183,19578786,283172,44117885,15856265,5497118,11365919,391451,46232,946860,11168596,47745,47745,47745,48273,48273,48273,33667,28248,28248,4741,1093,1093,41626,36820,37473,31636,27713,28473,1,Lun,NORMAL,1,14,30,0,0,0
202108,20211106,25536,202106,PREGUNTAS FRECUENTES,40031318,22614634,232032657,3952760,19086504,320371,49135104,14050721,5237213,11754475,,46488,961483,11232845,32015,48195,48195,57793,57793,57793,26164,20379,17359,42,42,42,28664,29702,26215,33707,32712,30069,6,Sab,NORMAL,16,28,13,0,0,0
201712,20180322,18051,201710,PREGUNTAS FRECUENTES,18841866,13396467,34710288,4469190,22066636,198822,14948993,,7996545,7573236,381387,36626,718492,11256520,23018,26234,26234,31150,52376,52376,17628,13796,13340,3561,3561,2906,20175,19979,18158,17841,,16692,4,Jue,NORMAL,0,13,26,1,0,0
201805,20180823,18198,201803,PREGUNTAS FRECUENTES,24418439,25429127,51917970,,26620754,239631,19173552,12447926,8862078,7923383,404699,39578,738906,11232374,26973,26973,26973,37631,37631,37631,17076,13152,13152,160,160,160,22888,20269,19567,19753,18217,17590,4,Jue,NORMAL,1,14,30,0,0,0
201806,20180915,19172,201804,PREGUNTAS FRECUENTES,24594693,17339765,48714205,4829997,22771520,223288,18390153,11958279,8486633,8021856,404929,39734,743574,11212992,25176,25176,25176,30270,37631,37631,14289,14133,12594,6279,160,160,19086,17138,16083,19458,18956,17857,6,Sab,COSTADO,25,5,22,0,0,0
201909,20191212,27050,201907,PREGUNTAS FRECUENTES,33326005,23142805,121829500,5185935,26105220,280016,27117702,13445473,7786188,9447250,390705,46227,815446,11045921,35558,38350,38350,45216,45216,45216,23327,23288,12205,8060,8047,6019,26708,27568,25307,25147,25645,23635,4,Jue,NORMAL,21,2,18,0,0,0
201910,20200108,27228,201908,PREGUNTAS FRECUENTES,35218163,24156144,139792842,5653085,28308894,345057,31356405,14372128,8270396,9503238,392573,46323,821447,11058875,33394,39761,39761,38026,45216,45216,24065,23938,14019,8195,8060,6935,29495,28888,27291,24479,25498,24318,3,Mie,NORMAL,18,30,15,0,0,0
202002,20200507,30484,201912,PREGUNTAS FRECUENTES,18735394,20960890,124185019,4859963,8685418,154081,12023549,8492585,2918414,9844046,373620,46094,836721,10992498,28396,31259,35558,42330,45016,45216,23672,8751,8751,8532,4246,,26030,24651,25760,24998,23895,24574,4,Jue,NORMAL,16,28,13,0,0,0
202005,20200828,39968,202003,PREGUNTAS FRECUENTES,32954528,29827421,213143503,5300888,15386245,205735,24165692,13382570,4134045,10146299,374361,46144,848741,10963836,47829,47829,47829,47829,47829,47829,28373,9036,9036,3347,3347,3347,,31475,29228,30161,28737,,5,Vie,PICO,6,19,3,0,0,0
202008,20201127,33339,202006,PREGUNTAS FRECUENTES,36320523,25292269,208994128,4904237,16802768,218015,28572522,13047454,5225646,10434334,372966,46359,878186,11008988,40058,45093,47829,45943,55548,55548,31742,31742,9036,5494,4383,3347,36252,37858,34666,32336,33849,31293,5,Vie,NORMAL,5,18,2,0,0,0
202009,20201214,37063,202007,PREGUNTAS FRECUENTES,34795510,24152338,211006951,4421745,16881914,217955,30230609,13335406,5340549,10573422,375555,46404,888791,11093658,45069,45801,52157,49175,49175,55548,34804,34804,31186,5002,5002,3347,39393,41161,40406,31135,31986,31562,1,Lun,PICO,23,4,20,0,0,0
202010,20210127,34914,202008,PREGUNTAS FRECUENTES,38927275,25436166,242610485,5844746,19864084,274973,37050874,15224357,5606085,10691461,375682,46366,901104,11079282,33024,46774,49721,44489,49175,55548,30840,28912,28912,4937,4937,3347,31642,36493,37170,29030,30831,31973,3,Mie,NORMAL,5,18,2,0,0,0
202106,20210913,36054,202104,PREGUNTAS FRECUENTES,38933731,22403207,237205820,3535091,18840978,302627,45057642,14391091,5297676,11458563,391205,46329,952640,11176270,45656,47745,47745,47708,48273,48273,34183,28248,28248,4961,3224,1093,38775,38084,37416,30590,28680,28359,1,Lun,NORMAL,23,3,20,0,0,0
202109,20211208,16985,202107,PREGUNTAS FRECUENTES,39576230,28276894,239503185,3563876,18727119,298444,49819879,15024724,5555723,11755570,394459,46599,971550,11365933,53274,53274,53274,53274,57793,57793,24188,11271,11271,65,42,42,33790,34844,35021,27135,31447,29992,3,Mie,FERIADO,17,29,14,0,0,0
201809,20181201,26750,201807,PREGUNTAS FRECUENTES,26159191,16715570,64718773,5394037,26424635,229826,19469122,12705252,8631014,8288965,434194,40261,754472,11146591,24086,24086,25176,31032,33618,37631,14824,10100,10100,7020,6277,160,18874,16818,16978,19713,19694,19327,6,Sab,COSTADO,9,22,6,0,0,0
202109,20211231,21160,202107,PREGUNTAS FRECUENTES,39576230,28276894,239503185,3563876,18727119,298444,49819879,15024724,5555723,11755570,394459,46599,971550,11365933,42088,46949,46949,53274,57793,57793,24504,24504,11843,65,42,42,29843,35817,32868,27135,31447,29992,5,Vie,PICO,9,22,6,0,0,0
201902,20190506,31839,201812,PREGUNTAS FRECUENTES,27353626,13247617,78946632,4780061,25296041,221998,23000336,12082153,8197638,8745664,412923,45252,777890,11158320,28029,37125,37125,30789,37125,37125,21368,15238,11253,7540,4237,0,24089,24460,24804,19261,19810,19929,1,Lun,NORMAL,15,27,12,0,0,0
201909,20191226,24920,201907,PREGUNTAS FRECUENTES,33326005,23142805,121829500,5185935,26105220,280016,27117702,13445473,7786188,9447250,390705,46227,815446,11045921,35558,38350,38350,45216,45216,45216,23327,23288,12205,8060,8047,6019,26708,27568,25307,25147,25645,23635,4,Jue,EFECTO F,4,17,1,0,0,0
201812,20190325,22498,201810,PREGUNTAS FRECUENTES,24654230,13900686,,4897474,23587413,214995,20711900,11202992,7770839,8573327,404858,44848,768137,11155381,37125,37125,37125,37125,37125,37125,15238,11253,11253,4237,0,0,26382,25544,25045,20750,20394,20044,1,Lun,NORMAL,3,16,0,0,0,1
201901,20190403,30684,201811,PREGUNTAS FRECUENTES,27710030,15588233,82088688,5679056,27272597,228776,23701947,12378676,8378518,8671602,404991,45017,773389,11162806,32757,32757,32757,32757,37125,37125,18409,18409,6972,4331,4237,0,24355,24490,23238,19364,20569,19837,3,Mie,NORMAL,13,25,9,0,0,0
201903,20190620,22909,201901,PREGUNTAS FRECUENTES,29072524,16016240,89285707,5383001,,253261,24589082,13368536,8609430,8850426,416249,45354,783629,11133621,20379,30789,32369,37670,37670,37670,18023,16298,7910,7253,4331,0,19465,21276,21260,20085,19580,19992,4,Jue,NORMAL,30,11,27,0,0,0
201904,20190712,24845,201902,PREGUNTAS FRECUENTES,28662377,14962854,87114481,4609903,25780818,228069,24099294,11672087,7582095,8950986,392847,45333,788880,11125003,22730,37670,37670,34108,37670,37670,6019,6019,6019,6019,6019,4237,18296,21628,22857,20319,19905,20242,5,Vie,NORMAL,21,2,18,0,0,0
201906,20190904,39761,201904,PREGUNTAS FRECUENTES,29594440,15762880,98246181,4749534,26300017,258366,26380835,13171616,7983174,9139838,390202,45718,797748,11102907,30955,30955,32757,38873,38873,38873,18779,14019,14019,7274,6019,4331,25578,23970,22889,21757,21603,20597,3,Mie,NORMAL,14,26,11,0,0,0
201909,20191224,17437,201907,PREGUNTAS FRECUENTES,33326005,23142805,121829500,5185935,26105220,280016,27117702,13445473,7786188,9447250,390705,46227,815446,11045921,45216,45216,45216,45216,45216,45216,24942,24942,21404,8060,8047,6019,31949,31713,28954,25147,25645,23635,2,Mar,NORMAL,2,15,30,0,0,0
202106,20210918,19159,202104,PREGUNTAS FRECUENTES,38933731,22403207,237205820,3535091,18840978,302627,45057642,,5297676,,391205,46329,952640,11176270,29587,40496,40496,47708,48273,48273,20379,17359,17359,4961,3224,1093,25711,24080,24339,30590,28680,28359,6,Sab,NORMAL,28,8,25,0,0,0
202107,20211011,45277,202105,PREGUNTAS FRECUENTES,38208438,22016229,231341747,3145736,18101454,295121,44252799,14310581,5471112,11590924,390839,46410,957687,11161890,48004,48004,48004,53594,53594,53594,42402,33667,28248,10851,4741,1093,44317,41577,37989,34117,32087,29030,1,Lun,NORMAL,20,1,17,0,0,0
201712,20180321,17003,201710,PREGUNTAS FRECUENTES,18841866,13396467,34710288,4469190,22066636,198822,14948993,10024278,7996545,7573236,381387,36626,718492,11256520,20236,27181,27181,31150,52376,52376,18352,10979,10844,3561,3561,2906,19354,19933,18038,17841,18483,16692,3,Mie,NORMAL,28,12,25,0,0,0
201801,20180430,27608,201711,PREGUNTAS FRECUENTES,21579067,21654629,41671586,4982751,25585460,218248,16883602,11026213,8544474,7650227,381405,36774,723083,11248888,25770,25770,52376,25770,31150,52376,3826,3561,3561,3593,3561,3561,16939,18894,20703,16074,17129,17070,1,Lun,PICO,8,21,5,0,0,0
201804,20180720,20466,201802,PREGUNTAS FRECUENTES,22573796,17899090,43792695,4617457,24740209,228739,16662713,10828284,8038324,7866500,385921,37288,735264,11236811,20776,22534,31150,31540,31540,31540,17410,6973,6973,1037,1037,1037,18699,18288,18606,17631,17278,17202,5,Vie,NORMAL,29,11,26,1,0,0
201806,20180926,20627,201804,PREGUNTAS FRECUENTES,24594693,17339765,48714205,4829997,22771520,223288,18390153,11958279,8486633,8021856,404929,39734,743574,11212992,26310,37631,37631,30270,37631,37631,16857,16857,15497,6279,160,160,19939,21016,20234,19458,18956,17857,3,Mie,NORMAL,4,17,1,0,0,0
201807,20181017,23204,201805,PREGUNTAS FRECUENTES,24670267,17547908,53707337,4920382,23561112,216498,17593675,11327287,8174754,8123328,404993,39892,746813,11184207,26421,37631,37631,33618,37631,37631,19990,16857,15627,6277,160,160,23487,22429,20946,20592,19939,18631,3,Mie,NORMAL,26,7,23,0,0,0
201901,20190410,20352,201811,PREGUNTAS FRECUENTES,27710030,15588233,82088688,5679056,27272597,228776,23701947,12378676,8378518,8671602,404991,45017,773389,11162806,32757,32757,32757,32757,37125,37125,18409,18409,6972,4331,4237,0,24355,24490,23238,19364,20569,19837,3,Mie,NORMAL,20,0,17,0,1,0
201906,20190920,22568,201904,PREGUNTAS FRECUENTES,29594440,15762880,98246181,4749534,26300017,258366,26380835,13171616,7983174,9139838,390202,45718,797748,11102907,28529,30682,37670,38873,38873,38873,21684,6019,6019,7274,6019,4331,23948,22525,22587,21757,21603,20597,5,Vie,NORMAL,30,11,27,1,0,0
201909,20191218,29795,201907,PREGUNTAS FRECUENTES,33326005,23142805,121829500,5185935,26105220,280016,27117702,13445473,7786188,9447250,390705,46227,815446,11045921,39761,39761,39761,45216,45216,45216,23938,23938,14019,8060,8047,6019,28718,28643,26306,25147,25645,23635,3,Mie,NORMAL,27,8,24,0,0,0
202006,20200909,34482,202004,PREGUNTAS FRECUENTES,33740715,26609809,209363260,4386032,14487279,202826,25155820,11239621,4051101,10246677,372946,46209,858411,10970762,49721,49721,49721,55548,55548,55548,36354,26639,4246,4383,3347,3347,40925,35195,31055,36850,31133,28425,3,Mie,NORMAL,19,32,16,0,0,0
202011,20210223,26382,202009,PREGUNTAS FRECUENTES,35336229,21607684,213019606,5213560,17861039,215652,33231462,13208795,5385680,10807893,372659,46233,907711,11068659,40524,49175,55548,46040,49175,55548,31505,30383,15679,47,47,47,36550,35797,38398,29421,29853,,2,Mar,NORMAL,1,14,30,0,0,0
