FECDIA,LLAMADAS_INGRESADAS,DIA_SEMANA_DES,TIPOLOGIA,
20201127,33339,Vie,NORMAL,
20201214,37063,Lun,PICO,
20210127,34914,Mie,NORMAL,
20210913,36054,Lun,NORMAL,
20211208,16985,Mie,FERIADO,
20170719,14400,Mie,NORMAL,
20181201,26750,Sab,COSTADO,
20211231,21160,Vie,PICO,
20190506,31839,Lun,NORMAL,
20191226,24920,Jue,EFECTO F,
20190325,22498,Lun,NORMAL,
20190403,30684,Mie,NORMAL,
20190620,22909,Jue,NORMAL,
20190712,24845,Vie,NORMAL,
20190904,39761,Mie,NORMAL,
20191224,17437,Mar,NORMAL,
20210918,19159,Sab,NORMAL,
20211011,45277,Lun,NORMAL,
20170220,19443,Lun,NORMAL,
20170515,23466,Lun,PICO,
20180321,17003,Mie,NORMAL,
20180430,27608,Lun,PICO,
20180720,20466,Vie,NORMAL,
20180926,20627,Mie,NORMAL,
20181017,23204,Mie,NORMAL,
20190410,20352,Mie,NORMAL,
20190920,22568,Vie,NORMAL,
20191218,29795,Mie,NORMAL,
20200909,34482,Mie,NORMAL,
20210223,26382,Mar,NORMAL,
20210810,41300,Mar,NORMAL,
20210921,26243,Mar,NORMAL,
20170421,17103,Vie,NORMAL,
20171221,17628,Jue,NORMAL,
20180424,18081,Mar,NORMAL,
20180606,17061,Mie,NORMAL,
20181020,14990,Sab,NORMAL,
20181218,23189,Mar,NORMAL,
20190305,25564,Mar,NORMAL,
20190619,24923,Mie,NORMAL,
20200203,42330,Lun,PICO,
20200901,49175,Mar,PICO,
20201221,39210,Lun,NORMAL,
20190603,38873,Lun,PICO,
20200608,52157,Lun,NORMAL,
20200618,38732,Jue,NORMAL,
20210219,25495,Vie,NORMAL,
20210301,41325,Lun,PICO,
20170607,17628,Mie,NORMAL,
20170804,18978,Vie,NORMAL,
20171116,21697,Jue,COSTADO,
20180404,22653,Mie,NORMAL,
20180724,20768,Mar,NORMAL,
20180803,22982,Vie,NORMAL,
20181019,19914,Vie,NORMAL,
20181026,20617,Vie,NORMAL,
20210120,35853,Mie,NORMAL,
20210215,35430,Lun,PICO,
20210218,27380,Jue,NORMAL,
20210222,29125,Lun,NORMAL,
20210806,43658,Vie,NORMAL,
20211112,31127,Vie,NORMAL,
20170202,19807,Jue,COSTADO,
20170828,18626,Lun,NORMAL,
20171012,23984,Jue,NORMAL,
20180223,19117,Vie,NORMAL,
20180822,20899,Mie,NORMAL,
20181005,22571,Vie,NORMAL,
20190408,24914,Lun,NORMAL,
20190928,21849,Sab,NORMAL,
20200208,19158,Sab,NORMAL,
20200309,29928,Lun,NORMAL,
20200428,30463,Mar,NORMAL,
20200812,31470,Mie,NORMAL,
20200904,44944,Vie,NORMAL,
20201219,30259,Sab,NORMAL,
20210210,28062,Mie,NORMAL,
20210909,27374,Jue,NORMAL,
20170313,21240,Lun,NORMAL,
20170404,20657,Mar,COSTADO,
20180219,17315,Lun,NORMAL,
20180412,20368,Jue,NORMAL,
20190213,18209,Mie,NORMAL,
20190725,26479,Jue,NORMAL,
20190810,21439,Sab,NORMAL,
20191209,25641,Lun,EFECTO F,
20200324,40751,Mar,NORMAL,
20200420,34202,Lun,NORMAL,
20200505,36070,Mar,COSTADO,
20200529,47829,Vie,NORMAL,
20200627,29773,Sab,NORMAL,
20210405,42615,Lun,PICO,
20210417,20058,Sab,NORMAL,
20211005,39293,Mar,NORMAL,
20170110,15444,Mar,NORMAL,
20170707,15495,Vie,NORMAL,
20180209,16419,Vie,NORMAL,
20180929,21436,Sab,PICO,
20191028,30723,Lun,NORMAL,
20191205,31259,Jue,NORMAL,
20210422,24862,Jue,NORMAL,
20210805,36412,Jue,NORMAL,
20210917,27754,Vie,NORMAL,
20170127,16349,Vie,NORMAL,
20170224,17072,Vie,NORMAL,
20170908,17969,Vie,NORMAL,
20180215,21866,Jue,PICO,
20180302,22534,Vie,COSTADO,
20191119,30041,Mar,NORMAL,
20170814,18147,Lun,PICO,
20171005,20507,Jue,NORMAL,
20180203,15413,Sab,NORMAL,
20180620,26310,Mie,NORMAL,
20181027,17956,Sab,NORMAL,
20190313,18999,Mie,NORMAL,
20190329,24820,Vie,NORMAL,
20190406,15952,Sab,NORMAL,
20190427,17240,Sab,NORMAL,
20190430,31590,Mar,PICO,
20190713,21979,Sab,NORMAL,
20191102,25632,Sab,EFECTO F,
20200310,28432,Mar,NORMAL,
20201021,31382,Mie,NORMAL,
20210420,26441,Mar,NORMAL,
20210611,24523,Vie,NORMAL,
20211215,32696,Mie,PICO,
20170203,18003,Vie,NORMAL,
20170210,15639,Vie,NORMAL,
20170216,21270,Jue,COSTADO,
20170517,19730,Mie,NORMAL,
20170530,19205,Mar,NORMAL,
20170628,17226,Mie,NORMAL,
20171121,19010,Mar,NORMAL,
20180509,19951,Mie,NORMAL,
20180713,21618,Vie,NORMAL,
20181013,16749,Sab,NORMAL,
20190112,15563,Sab,NORMAL,
20190423,21695,Mar,NORMAL,
20190513,27768,Lun,NORMAL,
20190702,35960,Mar,COSTADO,
20190816,35792,Vie,COSTADO,
20190829,34620,Jue,NORMAL,
20191022,27380,Mar,NORMAL,
20200512,33265,Mar,NORMAL,
20200611,47181,Jue,NORMAL,
20190701,40878,Lun,PICO,
20190930,35358,Lun,PICO,
20200109,24500,Jue,NORMAL,
20201230,32443,Mie,NORMAL,
20210108,33428,Vie,NORMAL,
20210427,26831,Mar,NORMAL,
20210501,23363,Sab,FERIADO,
20210722,20295,Jue,NORMAL,
20210925,18715,Sab,NORMAL,
20211028,32218,Jue,NORMAL,
20211229,25835,Mie,NORMAL,
20170323,16341,Jue,NORMAL,
20170617,12286,Sab,NORMAL,
20170727,16373,Jue,NORMAL,
20170808,13489,Mar,NORMAL,
20171122,17351,Mie,NORMAL,
20171219,19955,Mar,NORMAL,
20180402,31540,Lun,PICO,
20180719,23818,Jue,NORMAL,
20180821,20085,Mar,NORMAL,
20190205,24595,Mar,NORMAL,
20190730,32408,Mar,EFECTO F,
20190809,23770,Vie,NORMAL,
20191228,22970,Sab,NORMAL,
20201015,34832,Jue,PICO,
20210114,34220,Jue,NORMAL,
20210412,28248,Lun,NORMAL,
20210510,37147,Lun,NORMAL,
20210727,38316,Mar,NORMAL,
20211117,36856,Mie,NORMAL,
20170106,15748,Vie,NORMAL,
20170524,14375,Mie,NORMAL,
20180917,27767,Lun,NORMAL,
20181009,24172,Mar,EFECTO F,
20200115,30558,Mie,PICO,
20200504,39546,Lun,PICO,
20210106,39328,Mie,NORMAL,
20210119,37459,Mar,NORMAL,
20210624,32038,Jue,NORMAL,
20210707,44680,Mie,NORMAL,
20210803,69512,Mar,COSTADO,
20211023,23060,Sab,NORMAL,
20170126,16958,Jue,NORMAL,
20170317,19829,Vie,NORMAL,
20170826,11778,Sab,NORMAL,
20170918,20971,Lun,NORMAL,
20180220,19662,Mar,NORMAL,
20180906,20545,Jue,NORMAL,
20190422,24235,Lun,NORMAL,
20190617,27975,Lun,NORMAL,
20190827,28520,Mar,NORMAL,
20191019,16797,Sab,NORMAL,
20201103,40218,Mar,COSTADO,
20170114,14032,Sab,NORMAL,
20170121,12728,Sab,NORMAL,
20170124,17494,Mar,NORMAL,
20170315,21277,Mie,PICO,
20170325,15261,Sab,NORMAL,
20170726,16242,Mie,NORMAL,
20170928,17658,Jue,NORMAL,
20171106,21479,Lun,NORMAL,
20180908,14824,Sab,NORMAL,
20190105,21504,Sab,NORMAL,
20190509,21822,Jue,NORMAL,
20190621,21684,Vie,NORMAL,
20190824,22061,Sab,NORMAL,
20200217,32599,Lun,NORMAL,
20200415,36702,Mie,PICO,
20201128,27263,Sab,NORMAL,
20170120,17115,Vie,NORMAL,
20200318,30005,Mie,NORMAL,
20200320,33469,Vie,NORMAL,
20201031,28186,Sab,COSTADO,
20210312,27761,Vie,NORMAL,
20210701,53594,Jue,PICO,
20210929,28481,Mie,NORMAL,
20211013,35115,Mie,NORMAL,
20211018,41618,Lun,NORMAL,
20170316,23590,Jue,COSTADO,
20170513,14882,Sab,NORMAL,
20180608,17953,Vie,NORMAL,
20181224,15238,Lun,NORMAL,
20170704,17939,Mar,COSTADO,
20180523,19494,Mie,NORMAL,
20180721,16719,Sab,NORMAL,
20180820,21815,Lun,NORMAL,
20190124,19491,Jue,NORMAL,
20190301,37670,Vie,PICO,
20190418,12205,Jue,FERIADO,
20190601,24657,Sab,COSTADO,
20190606,23813,Jue,NORMAL,
20190812,29413,Lun,NORMAL,
20190828,32559,Mie,NORMAL,
20200331,30656,Mar,PICO,
20200723,31935,Jue,NORMAL,
20201017,22442,Sab,NORMAL,
20210102,32154,Sab,EFECTO F,
20210315,35638,Lun,PICO,
20210629,25610,Mar,FERIADO,
20210730,45398,Vie,EFECTO F,
20170527,11573,Sab,NORMAL,
20170722,12251,Sab,NORMAL,
20190126,17237,Sab,NORMAL,
20200226,27078,Mie,NORMAL,
20200411,26165,Sab,EFECTO F,
20200430,33200,Jue,PICO,
20200509,19643,Sab,NORMAL,
20210326,26483,Vie,NORMAL,
20210719,42402,Lun,NORMAL,
20210830,18743,Lun,FERIADO,
20210902,50230,Jue,COSTADO,
20211214,28400,Mar,NORMAL,
20211220,30905,Lun,NORMAL,
20170207,17858,Mar,NORMAL,
20170223,15964,Jue,NORMAL,
20171204,23707,Lun,NORMAL,
20171212,21396,Mar,NORMAL,
20171220,18900,Mie,NORMAL,
20180303,17308,Sab,NORMAL,
20180602,18263,Sab,COSTADO,
20190221,18383,Jue,NORMAL,
20190522,20189,Mie,NORMAL,
20190907,26760,Sab,NORMAL,
20190911,24303,Mie,NORMAL,
20191002,33394,Mie,COSTADO,
20200110,24464,Vie,NORMAL,
20200213,24724,Jue,NORMAL,
20200730,38764,Jue,EFECTO F,
20210318,34908,Jue,NORMAL,
20211209,29558,Jue,EFECTO F,
20211217,25544,Vie,NORMAL,
20170911,20078,Lun,NORMAL,
20180503,25669,Jue,COSTADO,
20181004,22109,Jue,NORMAL,
20190902,43096,Lun,PICO,
20210311,27195,Jue,NORMAL,
20170904,17447,Lun,NORMAL,
20170912,18677,Mar,NORMAL,
20180511,20764,Vie,NORMAL,
20181008,11253,Lun,FERIADO,
20181219,20444,Mie,NORMAL,
20190212,19503,Mar,NORMAL,
20190401,34108,Lun,PICO,
20190618,24555,Mar,NORMAL,
20190826,30589,Lun,NORMAL,
20200402,26956,Jue,COSTADO,
20210121,33900,Jue,NORMAL,
20210225,27495,Jue,NORMAL,
20210322,35094,Lun,NORMAL,
20210410,21095,Sab,NORMAL,
20210901,53274,Mie,PICO,
20211104,47484,Jue,NORMAL,
20180227,20246,Mar,NORMAL,
20210928,31340,Mar,NORMAL,
20211127,20387,Sab,NORMAL,
20170930,22026,Sab,COSTADO,
20180124,15497,Mie,NORMAL,
20180208,16941,Jue,NORMAL,
20180324,15560,Sab,NORMAL,
20180517,26973,Jue,NORMAL,
20180614,18292,Jue,NORMAL,
20181215,21513,Sab,COSTADO,
20190101,4331,Mar,FERIADO,
20190722,30495,Lun,NORMAL,
20191106,33266,Mie,NORMAL,
20200418,27078,Sab,NORMAL,
20200820,35702,Jue,NORMAL,
20201016,34356,Vie,COSTADO,
20200724,32705,Vie,NORMAL,
20200912,21207,Sab,NORMAL,
20210610,25767,Jue,NORMAL,
20170309,16292,Jue,NORMAL,
20171018,21497,Mie,NORMAL,
20190211,21368,Lun,NORMAL,
20191029,31002,Mar,NORMAL,
20191130,27245,Sab,COSTADO,
20200831,45801,Lun,EFECTO F,
20210325,26529,Jue,NORMAL,
20210430,31513,Vie,PICO,
20210729,12438,Jue,FERIADO,
20170218,13233,Sab,NORMAL,
20170406,16494,Jue,NORMAL,
20190107,24417,Lun,NORMAL,
20190520,31607,Lun,NORMAL,
20190626,30955,Mie,NORMAL,
20190628,28529,Vie,PICO,
20190910,26700,Mar,NORMAL,
20191001,38026,Mar,PICO,
20191015,30899,Mar,COSTADO,
20200826,42530,Mie,NORMAL,
20201218,35166,Vie,NORMAL,
20210714,36854,Mie,NORMAL,
20210811,42636,Mie,NORMAL,
20170206,20458,Lun,NORMAL,
20170825,14350,Vie,NORMAL,
20170922,18582,Vie,NORMAL,
20180118,16158,Jue,NORMAL,
20180120,12594,Sab,NORMAL,
20180521,23900,Lun,NORMAL,
20210105,41870,Mar,COSTADO,
20210203,35971,Mie,NORMAL,
20190709,32946,Mar,NORMAL,
20191221,20643,Sab,NORMAL,
20201126,31831,Jue,NORMAL,
20210403,19090,Sab,EFECTO F,
20210904,27665,Sab,NORMAL,
20211118,30100,Jue,NORMAL,
20170412,27942,Mie,NORMAL,
20170701,18564,Sab,COSTADO,
20170711,12675,Mar,NORMAL,
20171101,10979,Mie,FERIADO,
20171103,7442,Vie,COSTADO,
20171109,17657,Jue,NORMAL,
20171208,11963,Vie,FERIADO,
20181002,31564,Mar,COSTADO,
20200122,22995,Mie,NORMAL,
20200615,48599,Lun,PICO,
20200619,37616,Vie,NORMAL,
20200728,15679,Mar,FERIADO,
20200825,37586,Mar,NORMAL,
20201202,42153,Mie,COSTADO,
20210111,40549,Lun,NORMAL,
20210319,29133,Vie,NORMAL,
20211008,13045,Vie,FERIADO,
20170703,22635,Lun,PICO,
20170712,14221,Mie,NORMAL,
20171110,17553,Vie,NORMAL,
20171213,20236,Mie,NORMAL,
20180108,18359,Lun,NORMAL,
20180922,14852,Sab,NORMAL,
20190208,19265,Vie,NORMAL,
20190318,25267,Lun,NORMAL,
20200425,22271,Sab,NORMAL,
20200514,34598,Jue,NORMAL,
20201029,30998,Jue,NORMAL,
20201201,44381,Mar,PICO,
20210828,27815,Sab,NORMAL,
20210518,48273,Mar,NORMAL,
20170204,14712,Sab,NORMAL,
20170215,24064,Mie,PICO,
20170824,13439,Jue,NORMAL,
20171017,23722,Mar,COSTADO,
20180319,23274,Lun,NORMAL,
20180515,33945,Mar,COSTADO,
20180727,20357,Vie,NORMAL,
20190302,26367,Sab,COSTADO,
20190813,26166,Mar,NORMAL,
20190814,26343,Mie,NORMAL,
20191010,27627,Jue,NORMAL,
20200903,44385,Jue,NORMAL,
20210227,28721,Sab,PICO,
20210416,26535,Vie,COSTADO,
20211223,24336,Jue,NORMAL,
20170407,16019,Vie,NORMAL,
20170511,15938,Jue,NORMAL,
20170831,18620,Jue,EFECTO F,
20170915,20452,Vie,PICO,
20171111,14700,Sab,NORMAL,
20180216,20562,Vie,COSTADO,
20180413,17410,Vie,NORMAL,
20180423,18620,Lun,NORMAL,
20180529,22282,Mar,NORMAL,
20180731,28170,Mar,PICO,
20201203,36842,Jue,NORMAL,
20210313,21990,Sab,NORMAL,
20210317,43191,Mie,NORMAL,
20210406,38929,Mar,NORMAL,
20210817,50797,Mar,COSTADO,
20210927,32881,Lun,NORMAL,
20211022,26191,Vie,NORMAL,
20170125,16439,Mie,NORMAL,
20170201,26010,Mie,PICO,
20170318,14220,Sab,NORMAL,
20190307,20324,Jue,NORMAL,
20191126,32106,Mar,NORMAL,
20200518,41672,Lun,NORMAL,
20200707,46242,Mar,NORMAL,
20200918,33308,Vie,NORMAL,
20210628,45656,Lun,NORMAL,
20170616,16968,Vie,COSTADO,
20171107,20983,Mar,NORMAL,
20180512,16997,Sab,NORMAL,
20180815,30075,Mie,PICO,
20190227,22532,Mie,NORMAL,
20190515,29737,Mie,PICO,
20191011,26559,Vie,NORMAL,
20191018,24210,Vie,NORMAL,
20200304,38063,Mie,NORMAL,
20200811,40409,Mar,NORMAL,
20210116,28389,Sab,COSTADO,
20210213,20521,Sab,NORMAL,
20210920,31757,Lun,NORMAL,
20170509,17283,Mar,NORMAL,
20170622,12764,Jue,NORMAL,
20170812,11446,Sab,NORMAL,
20180116,20705,Mar,COSTADO,
20180320,19356,Mar,NORMAL,
20180518,24162,Vie,NORMAL,
20180627,19528,Mie,NORMAL,
20190927,26091,Vie,NORMAL,
20191007,33559,Lun,NORMAL,
20191017,25178,Jue,NORMAL,
20200215,19568,Sab,COSTADO,
20200612,45093,Vie,NORMAL,
20200805,43035,Mie,NORMAL,
20200905,26928,Sab,NORMAL,
20200921,34804,Lun,NORMAL,
20190906,29449,Vie,NORMAL,
20200307,20848,Sab,NORMAL,
20200521,35496,Jue,NORMAL,
20200910,31495,Jue,NORMAL,
20201105,34354,Jue,NORMAL,
20201130,40896,Lun,PICO,
20201226,27199,Sab,EFECTO F,
20210602,45563,Mie,COSTADO,
20170801,20288,Mar,PICO,
20180514,28953,Lun,PICO,
20180725,19990,Mie,NORMAL,
20190103,26668,Jue,COSTADO,
20191005,23122,Sab,NORMAL,
20200218,29167,Mar,NORMAL,
20200727,39736,Lun,NORMAL,
20200814,40058,Vie,PICO,
20200829,22600,Sab,NORMAL,
20201022,28676,Jue,NORMAL,
20210531,44983,Lun,PICO,
20210617,39178,Jue,NORMAL,
20210807,28960,Sab,NORMAL,
20211110,29855,Mie,NORMAL,
20170612,14410,Lun,NORMAL,
20180420,17661,Vie,NORMAL,
20180711,22625,Mie,NORMAL,
20180817,20891,Vie,NORMAL,
20180907,20347,Vie,NORMAL,
20180911,20640,Mar,NORMAL,
20181015,30352,Lun,PICO,
20190501,14019,Mie,FERIADO,
20190612,18779,Mie,NORMAL,
20190729,8878,Lun,FERIADO,
20191120,28430,Mie,NORMAL,
20191031,29848,Jue,PICO,
20200321,28758,Sab,NORMAL,
20200708,39362,Mie,NORMAL,
20200922,30383,Mar,NORMAL,
20210309,26604,Mar,NORMAL,
20210702,46949,Vie,COSTADO,
20210922,24188,Mie,NORMAL,
20170308,15776,Mie,NORMAL,
20170829,17691,Mar,NORMAL,
20180202,19993,Vie,COSTADO,
20180210,14184,Sab,NORMAL,
20180301,23744,Jue,PICO,
20180705,23401,Jue,NORMAL,
20180717,30351,Mar,COSTADO,
20181212,24630,Mie,NORMAL,
20181225,4237,Mar,FERIADO,
20190207,19638,Jue,NORMAL,
20190521,24135,Mar,NORMAL,
20190624,25046,Lun,NORMAL,
20200609,50283,Mar,NORMAL,
20210812,41907,Jue,NORMAL,
20211225,46,Sab,FERIADO,
20170427,20036,Jue,NORMAL,
20170926,17743,Mar,NORMAL,
20180305,23800,Lun,NORMAL,
20180613,16857,Mie,NORMAL,
20180910,21634,Lun,NORMAL,
20190614,22766,Vie,PICO,
20190622,14854,Sab,NORMAL,
20190718,24514,Jue,NORMAL,
20190218,23784,Lun,NORMAL,
20190311,21404,Lun,NORMAL,
20190516,26518,Jue,COSTADO,
20190531,30563,Vie,PICO,
20200121,25758,Mar,NORMAL,
20200204,29769,Mar,COSTADO,
20200413,36885,Lun,NORMAL,
20200527,32223,Mie,NORMAL,
20200603,36828,Mie,NORMAL,
20210424,20864,Sab,NORMAL,
20211026,40360,Mar,NORMAL,
20170418,25325,Mar,NORMAL,
20170710,11548,Lun,NORMAL,
20171021,14215,Sab,NORMAL,
20171227,18352,Mie,NORMAL,
20171229,22259,Vie,NORMAL,
20180206,18782,Mar,NORMAL,
20180607,18335,Jue,NORMAL,
20190223,15108,Sab,NORMAL,
20190327,19842,Mie,NORMAL,
20190425,18482,Jue,NORMAL,
20190502,33709,Jue,EFECTO F,
20191213,28618,Vie,NORMAL,
20200224,27003,Lun,NORMAL,
20200423,29020,Jue,NORMAL,
20200429,32993,Mie,NORMAL,
20200528,39783,Jue,NORMAL,
20200622,39320,Lun,NORMAL,
20200629,33204,Lun,FERIADO,
20200813,42087,Jue,NORMAL,
20201209,38926,Mie,EFECTO F,
20201222,34445,Mar,NORMAL,
20210329,32653,Lun,NORMAL,
20210630,47545,Mie,EFECTO F,
20201030,33057,Vie,PICO,
20210407,33479,Mie,NORMAL,
20210515,40496,Sab,COSTADO,
20170217,17891,Vie,NORMAL,
20170729,6698,Sab,FERIADO,
20180410,17661,Mar,NORMAL,
20180524,17076,Jue,NORMAL,
20180825,14480,Sab,NORMAL,
20190204,28029,Lun,NORMAL,
20190415,28806,Lun,PICO,
20200410,9036,Vie,FERIADO,
20200605,40326,Vie,NORMAL,
20201106,30522,Vie,NORMAL,
20201224,22058,Jue,NORMAL,
20210310,27950,Mie,NORMAL,
20210506,40157,Jue,NORMAL,
20211201,40488,Mie,PICO,
20170221,18644,Mar,NORMAL,
20170417,29003,Lun,PICO,
20170602,20724,Vie,COSTADO,
20180130,20952,Mar,NORMAL,
20180207,17900,Mie,NORMAL,
20180507,24649,Lun,NORMAL,
20180905,28566,Mie,NORMAL,
20180919,20770,Mie,NORMAL,
20181010,20846,Mie,NORMAL,
20181023,19761,Mar,NORMAL,
20181205,26645,Mie,NORMAL,
20181206,21497,Jue,NORMAL,
20190226,22268,Mar,NORMAL,
20190608,17933,Sab,NORMAL,
20190719,23204,Vie,NORMAL,
20190830,19283,Vie,FERIADO,
20191012,19518,Sab,NORMAL,
20191025,22325,Vie,NORMAL,
20200124,22792,Vie,NORMAL,
20200201,31106,Sab,COSTADO,
20200601,50531,Lun,PICO,
20210703,35949,Sab,NORMAL,
20210710,28201,Sab,NORMAL,
20210819,40033,Jue,NORMAL,
20211030,25605,Sab,PICO,
20170504,19503,Jue,NORMAL,
20170512,17151,Vie,NORMAL,
20170526,15559,Vie,NORMAL,
20171011,20094,Mie,NORMAL,
20171225,3561,Lun,FERIADO,
20180519,16982,Sab,NORMAL,
20180611,22574,Lun,NORMAL,
20180619,30270,Mar,NORMAL,
20180714,20794,Sab,NORMAL,
20190111,19450,Vie,NORMAL,
20191123,16942,Sab,NORMAL,
20191223,28312,Lun,NORMAL,
20201005,42479,Lun,NORMAL,
20210415,28875,Jue,PICO,
20210601,47708,Mar,PICO,
20210616,38952,Mie,NORMAL,
20210712,44142,Lun,NORMAL,
20170112,15499,Jue,NORMAL,
20170401,23198,Sab,COSTADO,
20170414,5595,Vie,FERIADO,
20180811,14536,Sab,NORMAL,
20181207,22474,Vie,NORMAL,
20190323,15226,Sab,NORMAL,
20190610,26025,Lun,NORMAL,
20190801,38350,Jue,PICO,
20191105,40248,Mar,COSTADO,
20210125,36614,Lun,NORMAL,
20210324,27695,Mie,NORMAL,
20211230,26178,Jue,NORMAL,
20170208,16521,Mie,NORMAL,
20170830,10844,Mie,FERIADO,
20180313,19118,Mar,NORMAL,
20180612,19994,Mar,NORMAL,
20180804,17448,Sab,NORMAL,
20190723,26327,Mar,NORMAL,
20200221,22946,Vie,NORMAL,
20200225,25257,Mar,NORMAL,
20201207,39397,Lun,NORMAL,
20210330,32283,Mar,NORMAL,
20210615,40504,Mar,COSTADO,
20210726,42719,Lun,NORMAL,
20211015,32115,Vie,PICO,
20211108,39590,Lun,NORMAL,
20170117,14725,Mar,COSTADO,
20170531,20673,Mie,PICO,
20171216,18110,Sab,COSTADO,
20180310,15034,Sab,NORMAL,
20180623,17215,Sab,NORMAL,
20180726,21069,Jue,NORMAL,
20181018,19883,Jue,NORMAL,
20211002,24828,Sab,COSTADO,
20211111,31015,Jue,NORMAL,
20170130,21910,Lun,NORMAL,
20170211,11659,Sab,NORMAL,
20170923,14315,Sab,NORMAL,
20181024,20657,Mie,NORMAL,
20191125,30386,Lun,NORMAL,
20200212,24801,Mie,NORMAL,
20200720,39748,Lun,NORMAL,
20210331,32288,Mie,PICO,
20210626,29587,Sab,NORMAL,
20210809,46511,Lun,NORMAL,
20210903,42088,Vie,NORMAL,
20170907,14522,Jue,NORMAL,
20190225,23176,Lun,NORMAL,
20190409,21404,Mar,NORMAL,
20191104,44997,Lun,PICO,
20200516,27383,Sab,COSTADO,
20200722,35098,Mie,NORMAL,
20200817,44962,Lun,NORMAL,
20210302,39895,Mar,COSTADO,
20210413,25306,Mar,NORMAL,
20210504,46392,Mar,COSTADO,
20210713,37689,Mar,NORMAL,
20211125,25277,Jue,NORMAL,
20170629,9998,Jue,FERIADO,
20170909,14558,Sab,NORMAL,
20171115,25022,Mie,PICO,
20180425,16975,Mie,NORMAL,
20180807,19253,Mar,NORMAL,
20181030,0,Mar,NORMAL,
20190321,19134,Jue,NORMAL,
20190328,20379,Jue,NORMAL,
20190412,22730,Vie,NORMAL,
20191109,14900,Sab,NORMAL,
20200103,26603,Vie,COSTADO,
20200515,36978,Vie,PICO,
20200617,40799,Mie,NORMAL,
20200721,38501,Mar,NORMAL,
20190517,22805,Vie,NORMAL,
20190605,27656,Mie,NORMAL,
20191108,26856,Vie,NORMAL,
20191214,21390,Sab,NORMAL,
20201013,32692,Mar,NORMAL,
20201113,34945,Vie,NORMAL,
20210720,36628,Mar,NORMAL,
20170518,15927,Jue,NORMAL,
20170822,14535,Mar,NORMAL,
20171104,16714,Sab,NORMAL,
20180111,16771,Jue,NORMAL,
20180309,17963,Vie,NORMAL,
20180317,15393,Sab,NORMAL,
20180326,21456,Lun,NORMAL,
20180813,21059,Lun,NORMAL,
20190206,20352,Mie,NORMAL,
20190525,15990,Sab,NORMAL,
20190710,27089,Mie,NORMAL,
20190817,24039,Sab,NORMAL,
20190912,24201,Jue,NORMAL,
20191203,35996,Mar,COSTADO,
20200220,23672,Jue,NORMAL,
20200302,44585,Lun,PICO,
20200725,22449,Sab,NORMAL,
20201204,35795,Vie,NORMAL,
20210419,30346,Lun,NORMAL,
20210706,45939,Mar,NORMAL,
20210820,35926,Vie,NORMAL,
20211113,22895,Sab,NORMAL,
20170428,18021,Vie,NORMAL,
20171010,15467,Mar,NORMAL,
20180224,15501,Sab,NORMAL,
20200810,39267,Lun,NORMAL,
20190122,16251,Mar,NORMAL,
20190309,16370,Sab,NORMAL,
20190326,21197,Mar,NORMAL,
20200407,31176,Mar,NORMAL,
20200926,23831,Sab,NORMAL,
20210916,31498,Jue,COSTADO,
20180428,17037,Sab,NORMAL,
20180528,24483,Lun,NORMAL,
